2025-09-06 14:52:54	A	Software
2025-09-06 14:56:55	B	Hardware
2025-09-06 14:58:02	B	Hardware
2025-09-06 15:16:31	B	Hardware
2025-09-06 15:27:16	B	Hardware
2025-09-06 15:30:48	B	Hardware
2025-09-06 15:42:37	B	Hardware
2025-09-06 15:48:29	B	Hardware
2025-09-06 15:49:22	B	Hardware
2025-09-06 15:52:08	B	Hardware
2025-09-06 15:56:03	B	Hardware
2025-09-06 15:57:42	B	Hardware
2025-09-06 16:11:16	B	Hardware
2025-09-06 16:19:06	B	Hardware
2025-09-06 16:21:24	B	Hardware
2025-09-06 16:22:45	B	Hardware
2025-09-06 16:32:53	B	Hardware
2025-09-06 16:38:02	B	Hardware
2025-09-06 16:53:20	A	Software
2025-09-06 16:54:55	B	Hardware
